Страна ; Заболели ; Умерли ; Вылечились ; Активные  случаи
Камерун ; 106794 ; 1791 ; 0 ; 105003
Руанда ; 100330  ; 1342 ; 0 ; 98988
Мальдивы ; 91464  ; 248 ; 0 ; 91216
Ямайка ; 91169  ; 2388  ; 0 ; 88781
Люксембург ; 88108 ; 866 ; 0 ; 87242
Сенегал ; 73985  ; 1885 ; 0 ; 72100
Лаос ; 71518  ; 159  ; 0 ; 71359
Тринидад и Тобаго ; 70136  ; 2115  ; 0 ; 68021
Ангола ; 65144  ; 1733 ; 0 ; 63411
Малави ; 61897  ; 2305  ; 0 ; 59592
Кот-д’Ивуар ; 61708  ; 704 ; 0 ; 61004
Реюньон ; 59048 ; 381 ; 0 ; 58667
Конго - Киншаса ; 58115 ; 1104 ; 0 ; 57011
Гваделупа ; 55080 ; 823 ; 0 ; 54257
Фиджи ; 52494 ; 696 ; 0 ; 51798
Суринам ; 50760  ; 1166  ; 0 ; 49594
Сирия ; 47965  ; 2739  ; 0 ; 45226
Эсватини ; 46538  ; 1248 ; 0 ; 45290
Французская Гвиана ; 45802 ; 325 ; 0 ; 45477
Французская Полинезия ; 45609 ; 636 ; 0 ; 44973
Мартиника ; 45010 ; 707 ; 0 ; 44303
Мадагаскар ; 44072 ; 967 ; 0 ; 43105
Судан ; 42056 ; 3114 ; 0 ; 38942
Мальта ; 39234  ; 468 ; 0 ; 38766
Мавритания ; 39178  ; 831 ; 0 ; 38347
Кабо-Верде ; 38362  ; 349 ; 0 ; 38013
Гайана ; 37773  ; 987  ; 0 ; 36786
Габон ; 37298 ; 279 ; 0 ; 37019
Папуа — Новая Гвинея ; 35029  ; 545  ; 0 ; 34484
Гвинея ; 30763 ; 387 ; 0 ; 30376
Белиз ; 30165 ; 570 ; 0 ; 29595
Танзания ; 26261 ; 730 ; 0 ; 25531
Того ; 26241 ; 243 ; 0 ; 25998
Гаити ; 25027 ; 723 ; 0 ; 24304
Барбадос ; 24923  ; 223 ; 0 ; 24700
Бенин ; 24850 ; 161 ; 0 ; 24689
Сейшельские Острова ; 23197 ; 125 ; 0 ; 23072
Сомали ; 23016 ; 1327 ; 0 ; 21689
Багамы ; 22734 ; 671 ; 0 ; 22063
Лесото ; 21755 ; 662 ; 0 ; 21093
Маврикий ; 21040 ; 240 ; 0 ; 20800
Бурунди ; 20386 ; 38 ; 0 ; 20348
Восточный Тимор ; 19822 ; 122 ; 0 ; 19700
Конго - Браззавиль ; 18837 ; 349 ; 0 ; 18488
Таджикистан ; 17493 ; 125 ; 0 ; 17368
Исландия ; 17446 ; 35 ; 0 ; 17411
Кюрасао ; 17397  ; 178 ; 0 ; 17219
Мали ; 17339  ; 605  ; 0 ; 16734
Никарагуа ; 17152 ; 212 ; 0 ; 16940
Андорра ; 16712 ; 131 ; 0 ; 16581
Тайвань ; 16588  ; 848 ; 0 ; 15740
Аруба ; 16324  ; 174 ; 0 ; 16150
Буркина-Фасо ; 15711 ; 281 ; 0 ; 15430
Бруней-Даруссалам ; 14992 ; 97 ; 0 ; 14895
Экваториальная Гвинея ; 13579 ; 173 ; 0 ; 13406
Джибути ; 13504 ; 186 ; 0 ; 13318
Сент-Люсия ; 12977  ; 280 ; 0 ; 12697
Южный Судан ; 12717 ; 133 ; 0 ; 12584
Новая Каледония ; 12105  ; 276 ; 0 ; 11829
ЦАР ; 11708 ; 101 ; 0 ; 11607
Новая Зеландия ; 11445  ; 43 ; 0 ; 11402
